140kit
3DVIA Virtools
960 Grid System
Abbot
ABBYY Fine Reader
Academia
Adobe After Effects
Adobe Bridge
Adobe Illustrator
Advene
Afloat
All Our Ideas
Alpheios
Altmetric
Analyse-it
ANNIS
Annotation Graph Toolkit (AGTK)
Annozilla (Annotea on Mozilla)
AnSWR
Anthologize
ANTHROPAC
AntWordProfiler
Anvil
ArcExplorer
ArcGis;ArcGIS
Archeosurveyor
ARTFL Encyclopédie Project
arts-humanities.net
Aruspix
AskSam
Asset Bank
Atlas.ti
Attensity 
Audacity
AustESE
Autodesk 3ds Max
Awesome Highlighter
Balsamiq Mockups
Bamboo Content Interoperability Hub
BASE
Basecamp
Basis Technology
BatchGeo
Beautiful Soup
BibApp
BITEXT
bitly
Blackboard Scholar
Blacklight
Bluefish
Bookends
Bookworm
Bootstrap
brat rapid annotation tool
bubbl.us
BuddyPress;WordPress, BuddyPress;BuddyPress Courseware
BuddyPress Courseware;BuddyPress
BuzzData
Calibre
capella-scan
Captivate
Capture Fox
Carrot2 
Casual
CATMA: Computer Aided Textual Markup & Analysis
Cestagi
Chartle
CHET-C
Chicken
Firebug
Firefox
Firefox 1.0+, Internet Explorer 7, Safari 2, Opera 9.0, Google Chrome;Firefox 2.x, Safari 3.x, Internet Explorer 7.0, Opera 9.x
Firefox 2.0, Zotero, Java Runtime Environment and QuickTime player (for Windows users)
Firefox 2.x, Safari 3.x, Internet Explorer 7.0, Opera 9.x;Firefox, Chrome, Safari, and Internet Explorer 9;Firefox 1.0+, Internet Explorer 7, Safari 2, Opera 9.0, Google Chrome
Firefox 3.0, Firefox 3.5
Firefox, Chrome, Safari, and Internet Explorer 9
Flashcard Machine
flokoon
FocusOPEN Digital Asset Manager
FOLKER
Formspring
FotoFlexer
Freebase
Frogr
FromThePage
GapVis
GATE
GDAL
GeoNames
GeoNames
GeoParser
GIMP (GNU Image Manipulation Program);GIMP: GNU Image Manipulation Program
Github
Gliffy
Global Translator
Gnod
GNU Wget
GoodReader
Google Scholar;Google Scholar Citations
Google Scholar Citations;Google Scholar
GPS Visualizer
GPS Visualizer
GRETL
Grokker
H-Net
Hackety Hack
HandBrake
HathiTrust Digital Library
HearPlanet
Heritrix
Heurist Reference Database
HUBzero
HyperPo
HyperRESEARCH
IBM AeroText
IBM InfoSphere
IBM Many Eyes
iBoogie
iBreadCrumbs.com
ICTA (internet community text analyzer)
ifttt
Improvise
Indexhibit
Instaviz
Instaviz
Insync
Internet Archive
Intervue
iOS 3.0+;iOS 3.1+;iOS 3.14+;iOS 4.0
iOS 3.1+;iOS 3.0+;iOS 3.2;iOS 4.2+
iOS 3.14+
iOS 3.2
iOS 4.0
iOS 4.2+
iShowU
IssueLab
iTunesCyrFix
JabRef
Java;Java 1.6+;Java 1.5+
Java 1.4.2 for Windows, Java 1.5.0 for Mac
Java 1.5+;Java 2 1.4.2+;Java
Java 1.6+
Java 2 1.4.2+
Java Virtual Machine, Java Advanced Imaging
JavaScript InfoVis Toolkit
Javascript, Flash Player v. 9.0+
Jekyll
JGAAP (java graphical authorship attribution program)
JIRA
Joomla
jotform
JQuery
JsFiddle
Jumpchart
Juxta
Kaleidoscope 2.0
Koha
KORA
Korbo
KwMap
LATtice
LC Newspaper Viewer
Legend Maker
Lemon8-XML
Leximancer
Lextek
LibraryLookup
LibX
LilyPond
Linguistic Inquiry and Word Count (LIWC)
Linux
LitBlitz Literature Notes Manager
LIWC
Lucene
Mac OS X 10.5+;Mac OS X 10.5.7+;Mac OS X 10.6;Mac OS X 10.7+, Mac iOS 4.0+
Mac OS X 10.5.7+;Mac OS X 10.5+
Mac OS X 10.5.8 (Leopard) or later
Mac OS X 10.6
Mac OS X 10.7+, Mac iOS 4.0+
MacSpeech Scribe
Madison Digital Image Database (MDID)
MALLET
MALLET package for R
ManagedQ
MantisBT
MapHub
Mapstraction
Markdown
MAXQDA
MDB Tool
Mediathread
Mendeley
Mercury Amira
METS Page Turner
MicrOsiris
MindJet MindManager
MindMeister
MIT App Inventor
MMax2
Mnemomap
Modernizr
Morphadorner
Mozilla Thimble
MuseScore
Music Encoding Initiative (MEI)
music21
myHistro
MySQL
MyStickies
Natural Language Toolkit
Nature mobile
Navicat for MySQL
NB
NewRadial (INKE)
NodeXL Network Graphs
Nomenklatura
Nominatim
Notational Velocity
NovaMind
NVivo
Omeka.net;Omeka;Omeka
OmniFocus
Open Attribute
Open GRASS
OpenLayers
OpenSocial
OpenZoom
Oracle Database
ORBIS
Org Mode
Otixo
OttoBib
oXygen XML editor
PAIR (Pairwise Alignment for Intertextual Relations)
PaperCritic
Participad
PDF Extract 
PDF to Word Converter
PDFCreator
PDFmyURL
PDFsam (PDF Split and Merge)
Pdftk (PDF Toolkit)
PDFtoMusic Pro
Personal Brain
Photoshop Express
PHP 5.2.3+
Picasa Web Albums
Pocket
POP - Prototyping on Paper
popplet
Posterous Spaces
PostgreSQL
PostgreSQL
Praat
PressBooks
Processing
Proofread Page
Protégé
Proxémie
Publish or Perish
Pundit
Purdue OWL
PyBossa
Python http://www.python.org/
QDA Miner - Qualitative Data Analysis Software for Qualitative Research
Qigga
Quadrigram
Qualrus
Quantum GIS
QuickVoice iP
Quintura
R
Readability
Readware Information Processor
Recollection
ReDBox
RedZ
Referencer
Reframe It
RefWorks
Rehersal Assistant
RivEx
Roambi Lite
Ruby
Ruby on Rails
Rwui
Sample size calculator
SAS Analytics
Scanner for Zotero
SCHED*
Scholastica
Sci2 Tool
Sente
SepiaTown
Sharepoint;SharePoint
Silobreaker
Silverlight
SimpleTCT
SiteCrawler
SiteSucker
Snap Pro X
Snipshot
Social Science Research Network
SpiderOak
Stanford POS Tagger
StatCrunch
Stories Matter
Substance
Subversion Version System (SVN)
Sumo Paint
Superfastmatch
Supermemo
SwiftRiver
T-PEN (Transcription for Paleographical and Editorial Notation)
Tabula
TagCrowd
TAPoR (Text Analysis Portal for Research)
TemaTres  Controlled Vocabulary Server
Text 2 Mind Map
Text Analysis Markup System (TAMS) Analyzer
Text Variation Explorer
TexTexture
TextSTAT- Simple Text Analysis Tool
The Field Linguist’s Toolbox
The Observer XT
TiddlyWiki
TILE (Text-Image Linking Environment)
TileMill
Timeflow
timemap
Tinderbox
TipCam
Tofu
TokenX
TokenX
Topo.ly
TouchGraph SEO Browser
Trello
Tumblr
TuneGlue
TXM
TypeWright
UAM CorpusTool
Ushahidi
VARD
VassarStats
Vérité TImeline
Versioning Machine
Vertov
VideoANT
Virtual Lightbox for Museums and Archives
VisuWords
VoiceWalker
VoodooPad
VUE
WARCreate
Wavesurfer
WEAVE
WebClust
WebKruz
WebLicht
WEFT QDA
Weka
Whatizit
WikiPack
Windows 2000+, Apple Mac OS X, Linux/Unix
Windows 2000, Windows XP, IE4+
Windows 95+
Windows Media Player, QuickTime, Java Media Framework
Wmatrix
WordCruncher
WordPress;WordPress.com
WordPress.com;WordPress;WordPress
WordSmith
WordStat - Content Analysis & Text Mining Software
Wufoo
Xalan
xMod
XSugar
Xtranormal
YahooNotepad
yED Graph
Yojimbo
Yutzu
Zamzar
Zandy
ZeeMaps
Zoomerang
Zoomify
FocusOPEN Digital Asset Manager
GDAL
PostgreSQL
QuarkXPress
GIMP: GNU Image Manipulation Program;GIMP (GNU Image Manipulation Program)
Mercury Amira
SharePoint;Sharepoint
Lucene
ArcExplorer
ERDAS Imagine
ABBYY Fine Reader
CONTENTdm
MantisBT
Ruby on Rails
xMod
Chicken of the VNC
oXygen XML editor
RivEx
Exceed
GeoNames
GeoParser
MMax2
Praat
Subversion Version System (SVN)
MONK
Wavesurfer
Zoomify
Concordance
ARTISAN
CHET-C (Chapel Hill Electronic Text-Converter)
3DVIA Virtools
Asset Bank
EPrints.org
NVivo
Xalan
Archeosurveyor
Drupal
CLAWS Tagger
Collin's Parser
XSugar
Adobe After Effects
Adobe Illustrator
Adobe Bridge
MySQL
Papyrological Navigator (PN)
EpiDoc XSLT
SoSOL (Son of SOL)
Audacity
SAXON
SPITBOL
ToadHMS
RDB2Java
OxCal
